API_Name,API_LM_Coeff,API_LM_Interc,API_PNEC_gL,Population_Scenario,Year,WWTP_Removal_Scenario,[MEAN](Norway_Population_mil),[MEAN](API_Sales_Weight_kg),[MEAN](Water_Consumption_ML),[MEAN](PEC_Inf_gL),[MEAN](PEC_Eff_gL),[MEAN](PEC_SW_gL),[MEAN](RQ),P(RQ=0-0.01),P(RQ=0.01-0.1),P(RQ=0.1-1),P(RQ=1-10),P(RQ=10-100),P(RQ=100-1000),P(RQ=1000-10000),P(RQ=10000-100000),P(RQ=100000-inf)
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2060,0.5-0.75,7.5,10240,1250,0.05286,0.05008,0.00506,61414.69267,0,0,0,0,0,0.00646,0.06232,0.71229,0.21892
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2060,0.75-1,7.5,10240,1250,0.05286,0.04424,0.00447,54369.95156,0,0,0.00002,0.00014,0.00659,0.09061,0.08114,0.62837,0.19313
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2070,0-0.25,7.5,10240,1250,0.05286,0.05047,0.0051,61884.79778,0,0,0,0,0,0.00053,0.06092,0.7179,0.22065
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2070,0.25-0.5,7.5,10240,1250,0.05286,0.05035,0.00509,61747.51045,0,0,0,0,0,0.00226,0.06133,0.71626,0.22014
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2070,0.5-0.75,7.5,10240,1250,0.05286,0.05008,0.00506,61414.69267,0,0,0,0,0,0.00646,0.06232,0.71229,0.21892
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2070,0.75-1,7.5,10240,1250,0.05286,0.04424,0.00447,54369.95156,0,0,0.00002,0.00014,0.00659,0.09061,0.08114,0.62837,0.19313
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2080,0-0.25,8.5,10240,1590,0.04807,0.05039,0.00509,61791.54717,0,0,0,0,0,0.0017,0.0612,0.71679,0.22031
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2080,0.25-0.5,8.5,10240,1590,0.04807,0.05002,0.00506,61346.53282,0,0,0,0,0,0.00732,0.06253,0.71148,0.21867
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2080,0.5-0.75,8.5,10240,1590,0.04807,0.04912,0.00496,60267.71016,0,0,0,0,0,0.02094,0.06574,0.6986,0.21472
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2080,0.75-1,8.5,10240,1590,0.04807,0.04113,0.00416,50616.47328,0,0,0.00005,0.00046,0.01317,0.13304,0.09012,0.58374,0.17941
